code,municipality,registered,envelopes,valid,TOP 09,Radostné Česko,"ROZUMNÍ-stop migraci,diktát.EU",CESTA ODPOVĚDNÉ SPOLEČNOSTI,ANO 2011,Občanská demokratická aliance,Svob.a př.dem.-T.Okamura (SPD),Česká str.sociálně demokrat.,SPORTOVCI,Strana zelených,Česká strana národně sociální,Řád národa - Vlastenecká unie,-,Strana svobodných občanů,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,STAROSTOVÉ A NEZÁVISLÍ,Blok proti islam.-Obran.domova,Česká pirátská strana,Referendum o Evropské unii,Dělnic.str.sociální spravedl.,SPR-Republ.str.Čsl. M.Sládka,Komunistická str.Čech a Moravy,Dobrá volba 2016,Strana Práv Občanů,Občanská demokratická strana
589942,Ptení,880,524,520,8,0,4,0,135,0,53,51,1,6,0,0,-,2,114,6,17,0,38,3,5,1,49,1,0,26
589951,Raková u Konice,163,104,101,1,0,0,0,30,0,11,0,0,1,0,0,-,0,19,0,5,0,10,0,2,0,16,0,1,5
589969,Rakůvka,80,61,61,2,0,1,0,17,0,13,11,0,0,0,0,-,0,2,0,0,0,4,0,0,0,8,0,2,1
589977,Rozstání,503,294,290,5,0,7,1,94,0,43,16,0,6,0,0,-,5,35,0,6,0,19,0,0,1,28,0,0,24
506770,Seloutky,410,288,287,9,0,2,0,87,0,32,19,0,3,0,0,-,3,30,0,6,0,29,0,0,0,33,0,0,34
589993,Skalka,212,131,131,4,0,1,0,31,0,20,7,0,1,0,0,-,1,17,1,7,0,14,0,0,0,20,0,0,7
590002,Skřípov,274,145,144,1,0,2,0,36,0,19,11,0,2,0,0,-,1,12,0,1,0,12,0,0,0,43,0,0,4
590011,Slatinky,453,314,313,23,1,0,0,87,0,29,15,0,7,0,0,-,2,27,0,16,0,44,0,0,0,30,0,0,32
590029,Smržice,1319,797,786,32,0,7,0,263,2,107,62,4,4,1,0,-,2,68,6,20,0,66,0,3,1,45,0,1,92
590045,Srbce,73,39,39,1,0,0,0,7,0,8,1,0,0,0,0,-,3,0,0,6,0,0,0,0,0,11,0,0,2
590053,Stařechovice,447,279,278,9,0,1,0,82,0,52,26,1,1,0,1,-,6,13,1,17,0,11,0,1,3,30,0,0,23
590061,Stínava,126,74,73,3,0,0,0,11,0,13,7,0,0,0,0,-,0,22,0,1,0,5,1,0,0,7,0,0,3
590070,Stražisko,345,222,220,2,0,1,0,83,0,34,20,0,1,0,1,-,2,30,0,4,0,14,0,0,0,25,0,0,3
590088,Suchdol,499,360,356,4,2,1,0,71,0,38,41,3,3,1,0,-,3,100,1,12,0,31,1,1,0,25,0,0,18
590096,Šubířov,204,110,109,2,0,1,0,37,1,11,9,0,2,0,0,-,1,7,0,6,0,12,0,0,0,14,0,0,6
590100,Tištín,393,215,215,3,0,0,0,63,0,43,32,0,5,0,1,-,4,14,1,17,2,6,0,1,0,15,0,2,6
590118,Tvorovice,252,152,152,1,0,1,0,38,0,24,9,0,1,0,0,-,0,18,1,14,0,8,0,3,0,22,0,3,9
590126,Určice,1101,613,611,12,1,5,5,158,1,110,35,0,18,0,0,-,11,35,6,29,0,38,0,4,0,69,1,5,68
590134,Víceměřice,354,204,204,5,0,2,0,56,0,33,33,0,1,0,0,-,1,13,3,3,0,18,1,4,0,19,0,1,11
